Product_Code,Cartridge,Bullet_Weight_gr,Bullet_Type,Item_Number,Velocity_MUZ,Velocity_100,Velocity_200,Velocity_300,Velocity_400,Velocity_500,Energy_MUZ,Energy_100,Energy_200,Energy_300,Energy_400,Energy_500,Trajectory_MUZ,Trajectory_100,Trajectory_200,Trajectory_300,Trajectory_400,Trajectory_500,Notes
SF,6mm Creedmoor,90,CX™,813944,3325,3081,2851,2632,2424,2225,2209,1897,1624,1385,1174,989,"-1.5","1.1","0","-5.4","-15.8","-32.1",
PH,6mm Creedmoor,103,ELD-X®,81392,3050,2862,2687,2514,2348,2189,2127,1874,1651,1446,1261,1096,"-1.5","1.4","0","-6.2","-17.9","-35.9",
B,6mm Creedmoor,105,BTHP,81396,2960,2782,2612,2447,2289,2136,2043,1805,1590,1396,1221,1064,"-1.5","1.5","0","-6.6","-19.0","-38.1",
M,6mm Creedmoor,108,ELD® Match,81391,2960,2784,2615,2453,2296,2144,2101,1859,1640,1443,1264,1103,"-1.5","1.5","0","-6.6","-19.0","-38.0",
LEV,25-35 Win,110,FTX®,8277,2425,2181,1952,1738,1543,1370,1436,1162,930,738,581,458,"-0.8","3.3","0","-12.5","-36.5","-75.2",
C,250 Savage,100,InterLock® SP,8132,2800,2542,2299,2069,1853,1652,1741,1435,1173,950,762,606,"-0.9","2.2","0","-8.9","-25.9","-53.1",
SF,257 Roberts +P,117,SST®,81353,2946,2707,2480,2265,2060,1866,2255,1903,1598,1332,1102,905,"-1.5","1.6","0","-7.3","-21.4","-43.7",
SF,25-06 Rem,90,CX™,814464,3350,2980,2640,2324,2031,1761,2243,1774,1393,1080,824,619,"-1.5","1.2","0","-6.2","-19.0","-40.2",
PH,25-06 Rem,110,ELD-X®,8143,3140,2929,2728,2536,2351,2175,2408,2095,1817,1570,1350,1155,"-1.5","1.3","0","-6.0","-17.3","-35.0",
AW,25-06 Rem,117,InterLock® BTSP,8144,2990,2749,2521,2304,2098,1902,2322,1963,1651,1379,1143,940,"-1.5","1.6","0","-7.0","-20.7","-42.2",
SF,25-06 Rem,117,SST®,81453,3110,2862,2627,2405,2193,1992,2513,2127,1793,1502,1249,1031,"-1.5","1.4","0","-6.4","-18.9","-38.6",
O,257 Wby Mag,90,CX™,813624,3625,3230,2871,2539,2230,1944,2626,2085,1647,1288,994,755,"-1.5","0.9","0","-5.2","-15.8","-33.4",
PH,257 Wby Mag,110,ELD-X®,81364,3240,3024,2819,2623,2435,2255,2564,2233,1940,1680,1448,1241,"-1.5","1.2","0","-5.5","-16.1","-32.6",
B,6.5 Grendel,123,ELD® Match,81528,2580,2409,2244,2086,1935,1791,1818,1585,1376,1189,1023,876,"-1.5","2.3","0","-9.2","-26.4","-52.8",
C,6.5 Grendel,123,SST®,8152,2580,2410,2247,2090,1940,1796,1818,1586,1379,1193,1028,881,"-1.5","2.3","0","-9.1","-26.3","-52.7",
SF,6.5 x 55mm,140,SST®,85507,2735,2563,2397,2237,2084,1937,2325,2041,1786,1556,1350,1166,"-1.5","1.9","0","-8.0","-22.9","-45.9",
SF,260 Rem,129,SST®,8552,2930,2737,2552,2375,2204,2041,2459,2145,1865,1615,1391,1193,"-1.5","1.6","0","-6.9","-20.0","-40.3",
M,260 Rem,130,ELD® Match,8553,2840,2674,2515,2361,2212,2069,2328,2064,1825,1609,1412,1235,"-1.5","1.7","0","-7.2","-20.6","-41.2",
V,6.5 Creedmoor,95,V-MAX®,81481,3300,3023,2764,2520,2288,2068,2297,1928,1612,1339,1104,902,"-1.5","1.2","0","-5.7","-16.9","-34.8",
O,6.5 Creedmoor,120,CX™,814874,2925,2708,2501,2303,2114,1934,2280,1953,1666,1413,1191,997,"-1.5","1.6","0","-7.2","-21.0","-42.6",
SF,6.5 Creedmoor,120,CX™,814904,3050,2826,2614,2411,2217,2033,2479,2128,1821,1549,1310,1101,"-1.5","1.4","0","-6.5","-19.0","-38.7",
M,6.5 Creedmoor,120,ELD® Match,81491,2910,2719,2535,2359,2190,2028,2256,1969,1713,1483,1278,1096,"-1.5","1.6","0","-7.0","-20.3","-40.8",
AW,6.5 Creedmoor,129,InterLock®,81489,2820,2615,2419,2232,2053,1882,2277,1959,1676,1427,1207,1015,"-1.5","1.8","0","-7.7","-22.5","-45.5",
SF,6.5 Creedmoor,129,SST®,81496,2950,2756,2571,2394,2223,2059,2493,2176,1894,1641,1415,1214,"-1.5","1.5","0","-6.8","-19.7","-39.7",
AG,6.5 Creedmoor,140,BTHP Match,81482,2690,2536,2388,2245,2106,1972,2249,2000,1773,1566,1379,1209,"-1.5","2.0","0","-8.1","-23.0","-45.8",
M,6.5 Creedmoor,140,ELD® Match,81500,2710,2564,2422,2285,2152,2023,2283,2043,1823,1622,1439,1273,"-1.5","1.9","0","-7.8","-22.3","-44.4",
PH,6.5 Creedmoor,143,ELD-X®,81499,2700,2556,2417,2282,2151,2025,2315,2075,1855,1654,1470,1302,"-1.5","1.9","0","-7.9","-22.4","-44.5",
M,6.5 Creedmoor,147,ELD® Match,81501,2695,2567,2443,2323,2206,2092,2370,2151,1948,1761,1587,1428,"-1.5","1.9","0","-7.7","-21.9","-43.2",
O,6.5 PRC,130,CX™,81622,2975,2782,2597,2420,2250,2086,2555,2234,1947,1690,1461,1256,"-1.5","1.5","0","-6.6","-19.2","-38.7",
PH,6.5 PRC,143,ELD-X®,81621,2960,2808,2661,2519,2381,2248,2782,2503,2248,2014,1800,1604,"-1.5","1.5","0","-6.4","-18.2","-36.2",
M,6.5 PRC,147,ELD® Match,81620,2910,2775,2645,2518,2395,2275,2764,2514,2283,2069,1871,1689,"-1.5","1.5","0","-6.5","-18.4","-36.5",
C,264 Win Mag,140,InterLock® SP,8154,2935,2734,2542,2358,2182,2013,2678,2324,2009,1729,1479,1259,"-1.5","1.6","0","-7.0","-20.2","-40.8",
C,6.8mm SPC,100,CX™,834814,2550,2227,1930,1659,1421,1226,1444,1102,827,611,448,334,"-1.5","2.8","0","-12.2","-37.1","-79.4",
B,6.8mm SPC,110,V-MAX® (16" Bbl),83464,2575,2343,2123,1916,1722,1544,1619,1341,1101,896,724,582,"-2.4","2.0","0","-9.7","-29.0","-60.0","16"" barrel"
C,6.8mm SPC,120,SST® (16" Bbl),8347,2460,2250,2051,1863,1687,1524,1612,1349,1121,925,758,619,"-2.4","2.3","0","-10.5","-31.1","-64.0","16"" barrel"
O,270 Win,130,CX™,805294,3000,2648,2323,2021,1744,1497,2598,2024,1557,1179,878,647,"-1.5","1.7","0","-8.2","-25.1","-53.4",
SF,270 Win,130,CX™,80524,3190,2945,2714,2494,2285,2085,2937,2503,2126,1795,1507,1255,"-1.5","1.3","0","-6.0","-17.6","-35.9",
SF,270 Win,130,SST®,80543,3200,2984,2779,2583,2396,2216,2956,2570,2229,1926,1656,1417,"-1.5","1.2","0","-5.7","-16.7","-33.7",
AW,270 Win,130,InterLock® SP,8053,3060,2852,2653,2463,2281,2107,2703,2347,2032,1752,1502,1281,"-1.5","1.4","0","-6.4","-18.4","-37.2",
AW,270 Win,140,InterLock® SP,80534,2940,2747,2563,2386,2216,2053,2687,2346,2042,1770,1526,1310,"-1.5","1.6","0","-6.8","-19.8","-39.9",
SF,270 Win,140,SST®,80563,3090,2894,2707,2528,2355,2189,2968,2604,2278,1986,1724,1490,"-1.5","1.3","0","-6.1","-17.6","-35.5",
PH,270 Win,145,ELD-X®,80536,2970,2796,2627,2465,2308,2157,2840,2516,2222,1955,1714,1497,"-1.5","1.5","0","-6.5","-18.8","-37.6",
O,270 WSM,130,CX™,805574,3150,2907,2678,2460,2252,2054,2864,2440,2070,1747,1464,1218,"-1.5","1.3","0","-6.2","-18.1","-36.9",
PH,270 WSM,145,ELD-X®,80558,3100,2918,2744,2576,2414,2258,3094,2741,2423,2136,1876,1641,"-1.5","1.3","0","-5.9","-17.1","-34.2",
C,275 Rigby,140,InterLock® SP,8070,2680,2456,2242,2040,1848,1670,2217,1861,1552,1284,1054,860,"-1.5","2.2","0","-9.1","-26.5","-54.2",
CL,7mm-08 Rem,120,SST®,80572,2675,2435,2207,1992,1790,1604,1907,1579,1298,1057,854,685,"-1.5","2.2","0","-9.4","-27.5","-56.6",
SF,7mm-08 Rem,139,CX™,805764,2910,2694,2488,2291,2103,1925,2613,2240,1910,1620,1365,1143,"-1.5","1.7","0","-7.3","-21.2","-43.0",
AW,7mm-08 Rem,139,InterLock® SP,8057,2840,2608,2387,2177,1978,1790,2489,2098,1758,1463,1207,989,"-1.5","1.8","0","-7.9","-23.2","-47.5",
SF,7mm-08 Rem,139,SST®,80573,2950,2757,2572,2395,2224,2061,2686,2346,2042,1770,1527,1311,"-1.5","1.5","0","-6.8","-19.7","-39.6",
PH,7mm-08 Rem,150,ELD-X®,85578,2770,2613,2461,2315,2173,2037,2555,2274,2018,1784,1573,1381,"-1.5","1.8","0","-7.5","-21.6","-43.0",
PH,280 Rem,150,ELD-X®,81587,2925,2763,2607,2455,2309,2167,2849,2543,2263,2007,1775,1564,"-1.5","1.5","0","-6.7","-19.1","-38.0",
PH,280 Ackley Imp,162,ELD-X®,85586,2850,2704,2562,2424,2291,2162,2921,2629,2360,2114,1888,1681,"-1.5","1.6","0","-6.9","-19.8","-39.3",
AW,7mm Rem Mag,139,InterLock® SP,80591,3150,2933,2728,2531,2343,2162,3062,2656,2296,1977,1694,1443,"-1.5","1.3","0","-5.9","-17.3","-35.1",
SF,7mm Rem Mag,139,SST®,80593,3240,3033,2837,2649,2469,2295,3240,2840,2484,2166,1881,1626,"-1.5","1.2","0","-5.5","-15.9","-32.0",
O,7mm Rem Mag,150,CX™,806114,3000,2792,2593,2403,2221,2047,2997,2596,2240,1923,1643,1395,"-1.5","1.5","0","-6.7","-19.4","-39.2",
AW,7mm Rem Mag,154,InterLock® SP,80590,3035,2815,2605,2405,2214,2031,3150,2709,2321,1978,1676,1411,"-1.5","1.5","0","-6.6","-19.2","-38.9",
SF,7mm Rem Mag,154,SST®,8061,3100,2915,2737,2567,2403,2244,3286,2905,2562,2253,1974,1722,"-1.5","1.3","0","-5.9","-17.2","-34.4",
PH,7mm Rem Mag,162,ELD-X®,80636,2975,2827,2682,2542,2406,2274,3183,2874,2588,2324,2082,1860,"-1.5","1.4","0","-6.3","-17.9","-35.6",
SF,7mm Rem Mag,162,SST®,80633,3030,2856,2689,2527,2372,2222,3302,2933,2600,2298,2023,1775,"-1.5","1.4","0","-6.2","-17.8","-35.7",
O,7mm WSM,150,CX™,805514,3050,2839,2639,2447,2263,2087,3098,2685,2319,1994,1705,1450,"-1.5","1.4","0","-6.4","-18.6","-37.7",
PH,7mm WSM,162,ELD-X®,80552,3000,2849,2702,2560,2423,2290,3237,2918,2626,2358,2112,1886,"-1.5","1.4","0","-6.2","-17.6","-35.0",
LEV,7-30 Waters,120,FTX®,81569,2700,2425,2167,1926,1702,1500,1942,1567,1251,988,772,599,"-1.5","2.2","0","-9.7","-28.8","-59.9",
PH,28 Nosler,162,ELD-X®,8069,3175,3017,2866,2719,2578,2440,3626,3275,2954,2660,2390,2142,"-1.5","1.2","0","-5.4","-15.5","-30.9",
PH,7mm STW,162,ELD-X®,80851,3050,2897,2749,2606,2468,2333,3346,3018,2718,2443,2190,1958,"-1.5","1.3","0","-5.6","-17.0","-33.8",
CD,30 Carbine,110,FTX® (20" Bbl),81030,2000,1601,1279,1067,,,977,626,399,278,,,"-0.9","0","-12.9","-47.2",,"20"" barrel"
C,300 Blackout,110,CX™ (16" Bbl),808794,2285,2029,1791,1575,1383,1224,1275,1005,784,606,467,366,"-1.5","3.5","0","-14.4","-42.9","-89.7","16"" barrel"
B,300 Blackout,110,V-MAX® (16" Bbl),80873,2375,2094,1834,1597,,,1378,1071,821,623,,,"-1.5","3.2","0","-13.7",,,"16"" barrel"
AG,300 Blackout,125,HP Match (16" Bbl),80897,2175,1932,1708,1505,,,1313,1036,810,609,,,"-1.5","4.0","0","-15.9",,,"16"" barrel"
C,300 Blackout,135,FTX® (16" Bbl),80881,2085,1811,1564,1350,,,1303,983,733,546,,,"-1.5","4.6","0","-18.9",,,"16"" barrel"
SUB,300 Blackout,190,SUB-X™ (16" Bbl),80877,1050,998,955,918,,,465,420,384,355,,,"-1.5","0","-33.4","-104.6",,"16"" barrel"
B,300 Blackout,208,A-MAX® (16" Bbl),80891,1020,987,959,,,,480,450,424,,,,"-1.5","0","-33.5",,,"16"" barrel"
LEV,30-30 Win,140,MonoFlex®,82731,2465,2183,1920,1679,,,1889,1481,1146,876,,,"-1.5","0","-5.8","-21.2",,
AW,30-30 Win,150,RN,80801,2390,1959,1581,1276,,,1902,1278,832,542,,,"-1.5","0","-7.7","-29.6",,
LEV,30-30 Win,160,FTX®,82730,2400,2151,1917,1700,,,2046,1643,1305,1027,,,"-1.5","3.0","0","-12.5",,
SUB,30-30 Win,175,SUB-X™,80809,1050,977,921,874,,,428,371,329,297,,,"-1.5","0","-34.9","-110.8",,
SF,300 Savage,150,SST®,82221,2740,2499,2272,2056,1852,1663,2500,2081,1718,1407,1143,921,"-1.5","2.1","0","-8.8","-25.8","-53.1",
LEV,307 Win,160,FTX®,8273,2650,2386,2137,1904,1688,1492,2494,2022,1622,1287,1012,791,"-1.5","2.3","0","-10","-29.6","-61.4",
LEV,308 Marlin Express,160,FTX®,82733,2660,2438,2227,2027,1838,1661,2514,2112,1762,1459,1200,980,"-1.5","2.2","0","-9.2","-26.9","-54.9",
CL,308 Win,125,SST®,80866,2675,2389,2121,1871,1642,1437,1986,1584,1248,971,748,573,"-1.5","2.3","0","-10.1","-30.1","-63.2",
AW,308 Win,150,InterLock® SP,8090,2820,2561,2316,2085,1868,1667,2649,2184,1787,1448,1162,925,"-1.5","1.9","0","-8.4","-24.9","-51.3",
SF,308 Win,150,SST®,80933,3000,2772,2556,2350,2153,1966,2997,2559,2176,1839,1543,1287,"-1.5","1.5","0","-6.8","-20.0","-40.7",
C,308 Win,150,SST®,8093,2820,2601,2393,2194,2005,1826,2649,2253,1907,1603,1338,1110,"-1.5","1.8","0","-7.9","-23.1","-46.9",
B,308 Win,155,A-MAX®,80927,2850,2639,2438,2245,2062,1887,2795,2397,2045,1735,1463,1225,"-1.5","1.8","0","-7.6","-22.1","-44.9",
AG,308 Win,155,BTHP Match,80967,2700,2482,2274,2076,1888,1712,2509,2119,1779,1483,1227,1009,"-1.5","2.1","0","-8.8","-25.7","-52.4",
CD,308 Win,155,FTX®,80920,2785,2499,2231,1980,,,2669,2150,1713,1349,,,"-1.5","0","-4.1","-15.2",,
O,308 Win,165,CX™,809864,2610,2412,2224,2044,1872,1711,2496,2132,1812,1530,1284,1072,"-1.5","2.3","0","-9.3","-26.9","-54.5",
SF,308 Win,165,CX™,80990,2750,2546,2352,2166,1988,1820,2771,2375,2027,1719,1449,1214,"-1.5","2.0","0","-8.2","-23.9","-48.4",
AW,308 Win,165,InterLock® SP,80904,2700,2496,2302,2116,1939,1772,2671,2283,1941,1640,1377,1150,"-1.5","2.1","0","-8.6","-25.0","-50.7",
SF,308 Win,165,SST®,80983,2840,2636,2440,2253,2074,1904,2955,2545,2182,1860,1577,1328,"-1.5","1.8","0","-7.6","-22.1","-44.6",
B,308 Win,168,A-MAX®,80971,2700,2513,2333,2161,1996,1839,2719,2355,2030,1742,1486,1261,"-1.5","2.0","0","-8.4","-24.3","-48.9",
M,308 Win,168,BTHP,8097,2700,2503,2315,2134,1962,1799,2719,2337,1998,1699,1436,1207,"-1.5","2.0","0","-8.5","-24.7","-50.0",
M,308 Win,168,ELD® Match,80966,2700,2530,2366,2209,2057,1912,2719,2388,2089,1820,1579,1364,"-1.5","2.0","0","-8.2","-23.5","-47.1",
SM,308 Win,168,ELD® Match,80963,2840,2665,2496,2334,2177,2027,3009,2649,2324,2032,1769,1533,"-1.5","1.7","0","-7.3","-21.0","-42.0",
M,308 Win,178,BTHP,8105,2600,2436,2278,2125,1979,1839,2672,2345,2050,1785,1548,1337,"-1.5","2.2","0","-8.9","-25.5","-51.0",
PH,308 Win,178,ELD-X®,80994,2600,2443,2291,2145,2004,1868,2671,2358,2074,1818,1587,1379,"-1.5","2.2","0","-8.8","-25.2","-50.2",
C,30-40 Krag,180,InterLock® SP,81202,2430,2234,2047,1869,1703,1548,2360,1994,1674,1397,1159,958,"-1.5","2.8","0","-11.0","-32.1","-65.2",
SF,30 TC,150,SST®,81004,3000,2772,2556,2350,2153,1966,2997,2559,2176,1839,1543,1287,"-1.5","1.5","0","-6.8","-20.0","-40.7",
CL,30-06 Springfield,125,SST®,81066,2700,2412,2143,1891,1660,1454,2023,1615,1274,993,765,586,"-1.5","2.3","0","-9.9","-29.5","-61.9",
AW,30-06 Springfield,150,InterLock® SP,8108,2910,2637,2381,2139,1911,1700,2820,2317,1888,1523,1216,963,"-1.5","1.8","0","-7.9","-23.5","-48.6",
SF,30-06 Springfield,150,SST®,81093,3080,2848,2628,2418,2218,2028,3159,2701,2300,1948,1639,1370,"-1.5","1.4","0","-6.4","-18.8","-38.3",
SF,30-06 Springfield,165,CX™,81169,2940,2728,2525,2332,2147,1970,3167,2726,2336,1992,1688,1422,"-1.5","1.6","0","-7.0","-20.5","-41.5",
SF,30-06 Springfield,165,SST®,81153,2960,2750,2550,2358,2175,2000,3210,2770,2382,2037,1733,1465,"-1.5","1.6","0","-6.9","-20.1","-40.6",
VM,30-06 Springfield,168,ELD® Match,81171,2710,2540,2376,2218,2066,1920,2739,2406,2105,1835,1592,1375,"-1.5","2.0","0","-8.1","-23.3","-46.7",
PH,30-06 Springfield,178,ELD-X®,81174,2750,2588,2431,2280,2134,1993,2988,2646,2335,2054,1799,1570,"-1.5","1.8","0","-7.7","-22.2","-44.3",
O,30-06 Springfield,180,CX™,811644,2600,2415,2238,2068,1905,1752,2702,2331,2001,1709,1451,1227,"-1.5","2.2","0","-9.2","-26.5","-53.5",
AW,30-06 Springfield,180,InterLock® SP,81084,2700,2492,2293,2103,1923,1753,2714,2481,2101,1768,1478,1228,"-1.5","2.1","0","-8.7","-25.2","-51.2",
SF,30-06 Springfield,180,SST®,81183,2820,2630,2448,2274,2106,1946,3178,2765,2396,2066,1772,1513,"-1.5","1.8","0","-7.6","-21.9","-44.1",
C,300 H&H Mag,180,InterBond®,8210,2870,2678,2494,2318,2148,1986,3292,2866,2486,2147,1844,1576,"-1.5","1.7","0","-7.3","-21.0","-42.3",
PH,300 RSAUM,178,ELD-X®,82144,2950,2780,2616,2458,2305,2158,3439,3053,2704,2387,2100,1840,"-1.5","1.5","0","-6.6","-18.9","-37.8",
SF,300 RCM,150,SST®,82231,3310,3065,2834,2615,2406,2207,3649,3129,2675,2277,1928,1622,"-1.5","1.1","0","-5.5","-16.0","-32.6",
PH,300 RCM,178,ELD-X®,82224,2900,2733,2571,2415,2264,2119,3323,2952,2613,2305,2026,1774,"-1.5","1.6","0","-6.8","-19.7","-39.3",
